group,player,resolved,n_rounds,odds,p_model,p_market,ev_pct,kelly_stake,thin_sample
Blair / Coody / Roy,ZAC BLAIR,Zac Blair,256,3.25,0.2837,0.2819,-7.8,0.0,False
Mi. Kim / Theegala / Koivun,JACKSON KOIVUN,Jackson Koivun,32,2.63,0.3498,0.3565,-8.0,0.0,True
Putnam / Hall / Brennan,MICHAEL BRENNAN,Michael Brennan,69,3.0,0.3053,0.3094,-8.4,0.0,False
Schauffele / Thomas / Matsuyama,HIDEKI MATSUYAMA,Hideki Matsuyama,367,3.4,0.2692,0.2691,-8.5,0.0,False
Rai / Morikawa / Day,COLLIN MORIKAWA,Collin Morikawa,335,2.38,0.3842,0.3929,-8.6,0.0,False
Fleetwood / McIlroy / Åberg,TOMMY FLEETWOOD,Tommy Fleetwood,318,2.88,0.316,0.3186,-9.0,0.0,False
Cauley / Schmid / Shipley,NEAL SHIPLEY,Neal Shipley,77,3.75,0.2426,0.2478,-9.0,0.0,False
McDowell / Rodgers / Mitchell,PATRICK RODGERS,Patrick Rodgers,447,2.88,0.3156,0.3185,-9.1,0.0,False
Berger / Fowler / Bradley,DANIEL BERGER,Daniel Berger,250,3.0,0.3029,0.3094,-9.1,0.0,False
Scott / English / Taylor,HARRIS ENGLISH,Harris English,364,2.5,0.3634,0.3723,-9.1,0.0,False
B. Wu / Stanger / Yuan,JIMMY STANGER,Jimmy Stanger,72,2.38,0.3803,0.3855,-9.5,0.0,False
Rai / Morikawa / Day,JASON DAY,Jason Day,316,3.5,0.2585,0.2671,-9.5,0.0,False
Putnam / Hall / Brennan,ANDREW PUTNAM,Andrew Putnam,412,2.75,0.3288,0.3376,-9.6,0.0,False
M. Fitzpatrick / DeChambeau / Hovland,MATT FITZPATRICK,Matt Fitzpatrick,342,2.38,0.3796,0.3959,-9.7,0.0,False
Henley / Griffin / Gerard,RUSSELL HENLEY,Russell Henley,339,2.38,0.3785,0.3905,-9.9,0.0,False
Scott / English / Taylor,NICK TAYLOR,Nick Taylor,394,3.4,0.2649,0.2738,-9.9,0.0,False
Kohles / Keefer / McCarty,BEN KOHLES,Ben Kohles,256,3.0,0.3002,0.3039,-10.0,0.0,False
McDowell / Rodgers / Mitchell,KEITH MITCHELL,Keith Mitchell,389,2.1,0.4285,0.4368,-10.0,0.0,False
Harman / Bridgeman / Greyserman,JACOB BRIDGEMAN,Jacob Bridgeman,250,2.63,0.3419,0.3538,-10.1,0.0,False
Fleetwood / McIlroy / Åberg,RORY MCILROY,Rory McIlroy,279,2.38,0.3776,0.3855,-10.1,0.0,False
Kitayama / Reed / Novak,KURT KITAYAMA,Kurt Kitayama,340,2.5,0.3578,0.368,-10.6,0.0,False
Hatton / Burns / Si. Kim,TYRRELL HATTON,Tyrrell Hatton,176,2.88,0.3098,0.3231,-10.8,0.0,False
Mi. Kim / Theegala / Koivun,SAHITH THEEGALA,Sahith Theegala,437,2.75,0.3244,0.341,-10.8,0.0,False
Kohles / Keefer / McCarty,JOHNNY KEEFER,Johnny Keefer,76,2.75,0.3217,0.3315,-11.5,0.0,False
Fox / Conners / Hisatsune,RYO HISATSUNE,Ryo Hisatsune,266,3.0,0.2926,0.3143,-12.2,0.0,False
Johnson / Clark / Woodland,GARY WOODLAND,Gary Woodland,349,3.0,0.2894,0.3141,-13.2,0.0,False
Rose / Rahm / Spieth,JON RAHM,Jon Rahm,177,2.1,0.4113,0.4391,-13.6,0.0,False
MacIntyre / Højgaard / Echavarria,ROBERT MACINTYRE,Robert MacIntyre,250,2.38,0.3615,0.3938,-14.0,0.0,False
Noren / Straka / McNealy,SEPP STRAKA,Sepp Straka,386,3.0,0.2867,0.3085,-14.0,0.0,False
Berger / Fowler / Bradley,RICKIE FOWLER,Rickie Fowler,363,2.75,0.311,0.3376,-14.5,0.0,False
Lowry / Niemann / Smalley,JOAQUIN NIEMANN,Joaquín Niemann,100,2.63,0.3225,0.3511,-15.2,0.0,False
Koepka / Young / Gotterup,CAMERON YOUNG,Cameron Young,388,2.38,0.3558,0.3866,-15.3,0.0,False
Nørgaard / Yellamaraju / Repetto Taylor,SUDARSHAN YELLAMARAJU,Sudarshan Yellamaraju,69,1.91,0.4432,0.4769,-15.4,0.0,False
Johnson / Clark / Woodland,DUSTIN JOHNSON,Dustin Johnson,78,3.25,0.2604,0.2899,-15.4,0.0,False
Poston / Cantlay / Horschel,BILLY HORSCHEL,Billy Horschel,320,3.75,0.2251,0.2446,-15.6,0.0,False
M. Fitzpatrick / DeChambeau / Hovland,BRYSON DECHAMBEAU,Bryson DeChambeau,66,3.0,0.2771,0.3141,-16.9,0.0,False
M. Lee / Ortiz / Bhatia,MIN WOO LEE,Min Woo Lee,257,2.1,0.3941,0.4368,-17.2,0.0,False
Fox / Conners / Hisatsune,COREY CONNERS,Corey Conners,389,2.75,0.3005,0.3429,-17.4,0.0,False
Nicholas / Montgomery / Surratt,CALEB SURRATT,Caleb Surratt,9,2.38,0.344,0.3817,-18.1,0.0,True
M. Lee / Ortiz / Bhatia,CARLOS ORTIZ,Carlos Ortiz,55,3.75,0.2171,0.2446,-18.6,0.0,True
Harrington / Smith / Russell,MILES RUSSELL,Miles Russell,12,3.5,0.2303,0.2715,-19.4,0.0,True
Blair / Coody / Roy,KEVIN ROY,Kevin Roy,227,2.75,0.2909,0.3332,-20.0,0.0,False
Schauffele / Thomas / Matsuyama,XANDER SCHAUFFELE,Xander Schauffele,343,2.1,0.3757,0.4357,-21.1,0.0,False
B. Wu / Stanger / Yuan,CARL YUAN,Carl Yuan,177,2.88,0.2696,0.3186,-22.3,0.0,False
Silverman / Grillo / Dumont de Chassart,ADRIEN DUMONT DE CHASSART,Adrien Dumont de Chassart,135,2.63,0.2862,0.3511,-24.7,0.0,False
Herbert / Reitan / Im,LUCAS HERBERT,Lucas Herbert,112,3.1,0.2396,0.2998,-25.7,0.0,False
To. Kim / A. Fitzpatrick / James,BEN JAMES,Ben James,26,3.25,0.2284,0.2899,-25.8,0.0,True
Spaun / Scheffler / Howell,MASON HOWELL,Mason Howell,12,8.0,0.0831,0.1127,-33.5,0.0,True
Thompson / Puig / Stout,PRESTON STOUT,Preston Stout,4,3.5,0.1833,0.2671,-35.8,0.0,True
Schaper / Suber / Fang,JAYDEN SCHAPER,Jayden Schaper,12,2.1,0.25,0.4301,-47.5,0.0,True
