name,world_rank,status,event,course,tee_time_r1,tee_time_r2,start_hole_r1,start_hole_r2,course_sigma,odds_win,odds_top5,odds_top10,odds_top20,odds_cut
Lucas Glover,,active,John Deere Classic,John Deere Classic,,,10,,,,,,,
Luke Clanton,,active,John Deere Classic,John Deere Classic,,,,10,,,,,,
Luke Gutschewski,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Luke List,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Mac Meissner,,active,John Deere Classic,John Deere Classic,,,,10,,,,,,
Mackenzie Hughes,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Marcelo Rozo,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Mark Hubbard,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Martin Laird,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Mason Howell,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Matt Kuchar,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Matt Wallace,,active,John Deere Classic,John Deere Classic,,,10,,,,,,,
Matthieu Pavon,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Max Greyserman,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Max Homa,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Max McGreevy,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Michael Brennan,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Michael Feagles,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Michael Kim,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Michael Thorbjornsen,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Neal Shipley,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Nicholas Lindheim,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Nick Dunlap,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Nick Hardy,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Noah Goodwin,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Patrick Adler,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Patrick Fishburn,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Patton Kizzire,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Paul Peterson,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Peter Malnati,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Pierceson Coody,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Pontus Nyholm,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Preston Stout,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Rafael Campos,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Rickie Fowler,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Rico Hoey,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Robert Streb,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Ryan Brehm,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Ryan Voois,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Ryo Hisatsune,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
S.Y. Noh,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Stephan Jaeger,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Steven Fisk,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Sudarshan Yellamaraju,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Sungjae Im,,active,John Deere Classic,John Deere Classic,,,,10,,,,,,
Séamus Power,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Takumi Kanaya,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Taylor Moore,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Taylor Pendrith,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Thorbjørn Olesen,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Tom Hoge,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Tom Kim,,active,John Deere Classic,John Deere Classic,,,10,,,,,,,
Tony Finau,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Trace Crowe,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Troy Merritt,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Tyler Duncan,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Vince Whaley,,active,John Deere Classic,John Deere Classic,,,10,,,,,,,
Webb Simpson,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Will Gordon,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
William Mouw,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Zac Blair,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Zach Bauchou,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Zach Johnson,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Zecheng Dou,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
