name,odds_win,odds_top5,odds_top10,odds_top20,odds_cut
Robert Streb,2501.0,,,,
Ben Griffin,17.0,,,,
Chris Gotterup,17.0,,,,
Jackson Koivun,23.0,,,,
Keith Mitchell,26.0,,,,
Keegan Bradley,29.0,,,,
Eric Cole,31.0,,,,
J.T. Poston,29.0,,,,
Michael Thorbjornsen,31.0,,,,
Tom Kim,26.0,,,,
Jacob Bridgeman,36.0,,,,
Jordan Spieth,36.0,,,,
Andrew Novak,41.0,,,,
Denny McCarthy,41.0,,,,
Michael Brennan,41.0,,,,
Pierceson Coody,46.0,,,,
Rickie Fowler,41.0,,,,
Ryo Hisatsune,46.0,,,,
Doug Ghim,51.0,,,,
Matt Wallace,46.0,,,,
Sungjae Im,46.0,,,,
Aldrich Potgieter,51.0,,,,
Blades Brown,51.0,,,,
Davis Thompson,51.0,,,,
Jackson Suber,51.0,,,,
Michael Kim,51.0,,,,
Daniel Berger,51.0,,,,
Mac Meissner,56.0,,,,
Sudarshan Yellamaraju,56.0,,,,
Emiliano Grillo,61.0,,,,
Max Greyserman,61.0,,,,
Christiaan Bezuidenhout,66.0,,,,
Johnny Keefer,66.0,,,,
Max Homa,66.0,,,,
Tony Finau,66.0,,,,
Rico Hoey,71.0,,,,
Taylor Pendrith,71.0,,,,
Ben Kohles,81.0,,,,
Kevin Yu,81.0,,,,
Max McGreevy,81.0,,,,
Taylor Moore,81.0,,,,
Zach Bauchou,81.0,,,,
Andrew Putnam,91.0,,,,
Austin Smotherman,91.0,,,,
Beau Hossler,91.0,,,,
Haotong Li,91.0,,,,
Adrien Dumont De Chassart,101.0,,,,
Carson Young,101.0,,,,
Keita Nakajima,101.0,,,,
Mackenzie Hughes,101.0,,,,
Seamus Power,101.0,,,,
Steven Fisk,101.0,,,,
Thorbjorn Olesen,101.0,,,,
William Mouw,101.0,,,,
A J Ewart,101.0,,,,
Garrick Higgo,126.0,,,,
Lucas Glover,126.0,,,,
Stephan Jaeger,126.0,,,,
Austin Eckroat,151.0,,,,
Chad Ramey,176.0,,,,
Chan Kim,151.0,,,,
Jhonattan Vegas,151.0,,,,
Lee Hodges,151.0,,,,
Luke Clanton,126.0,,,,
Matt Kuchar,151.0,,,,
Matthieu Pavon,151.0,,,,
Patrick Rodgers,151.0,,,,
Preston Stout,151.0,,,,
Takumi Kanaya,151.0,,,,
Zac Blair,151.0,,,,
Zach Johnson,151.0,,,,
Zecheng Dou,151.0,,,,
Adam Svensson,176.0,,,,
Chandler Blanchet,176.0,,,,
Kevin Roy,176.0,,,,
Patrick Fishburn,176.0,,,,
Tom Hoge,176.0,,,,
Webb Simpson,176.0,,,,
Adam Hadwin,201.0,,,,
Hayden Springer,201.0,,,,
Kris Ventura,201.0,,,,
Neal Shipley,201.0,,,,
S Y Noh,201.0,,,,
Vince Whaley,201.0,,,,
Brice Garnett,226.0,,,,
David Lipsky,226.0,,,,
Jimmy Stanger,226.0,,,,
Mark Hubbard,226.0,,,,
Brian Campbell,251.0,,,,
Cameron Champ,251.0,,,,
Erik Van Rooyen,251.0,,,,
Karl Vilips,251.0,,,,
Joel Dahmen,276.0,,,,
Lanto Griffin,276.0,,,,
David Skinns,301.0,,,,
Nick Dunlap,301.0,,,,
Hank Lebioda,351.0,,,,
Trace Crowe,351.0,,,,
Alejandro Tosti,401.0,,,,
Ben Silverman,401.0,,,,
Chandler Phillips,401.0,,,,
Dylan Frittelli,401.0,,,,
Dylan Wu,401.0,,,,
Harry Higgs,401.0,,,,
Kensei Hirata,401.0,,,,
Noah Goodwin,401.0,,,,
Paul Peterson,401.0,,,,
Tyler Duncan,401.0,,,,
Adam Schenk,501.0,,,,
Christo Lamprecht,501.0,,,,
Davis Riley,401.0,,,,
Fabian Gomez,501.0,,,,
Jeffrey Kang,501.0,,,,
John VanDerLaan,501.0,,,,
Justin Lower,501.0,,,,
Kevin Streelman,501.0,,,,
Luke List,501.0,,,,
Pontus Nyholm,501.0,,,,
Danny Walker,601.0,,,,
Davis Chatfield,601.0,,,,
Nick Hardy,601.0,,,,
Ryan Vools,601.0,,,,
Camilo Villegas,751.0,,,,
Joe Highsmith,751.0,,,,
Marcelo Rozo,501.0,,,,
Martin Laird,751.0,,,,
Troy Merritt,751.0,,,,
Aaron Wise,1001.0,,,,
Augusto Nunez,1001.0,,,,
Brendon Todd,1001.0,,,,
Gordon Sargent,1001.0,,,,
Jeremy Paul,1001.0,,,,
Luke Gutschewski,1001.0,,,,
Mason Howell,1001.0,,,,
Michael Feagles,1001.0,,,,
Nicholas Lindheim,1001.0,,,,
Patrick Adler,1001.0,,,,
Patton Kizzire,1001.0,,,,
Peter Malnati,1001.0,,,,
Jonathan Byrd,1501.0,,,,
Ben Martin,2001.0,,,,
Rafael Campos,2001.0,,,,
Darin Fisher,2501.0,,,,
Ryan Brehm,2501.0,,,,
