date,home,away,odds_home,odds_draw,odds_away,result90
2022-11-20,Qatar,Ecuador,11/4,11/5,5/4,away
2022-11-21,USA,Wales,3/2,21/10,12/5,draw
2022-11-21,Senegal,Netherlands,21/4,11/4,17/25,away
2022-11-21,England,Iran,2/5,15/4,10/1,home
2022-11-22,France,Australia,23/100,25/4,14/1,home
2022-11-22,Mexico,Poland,31/20,43/20,11/5,draw
2022-11-22,Denmark,Tunisia,3/5,3/1,13/2,draw
2022-11-22,Argentina,Saudi Arabia,13/100,9/1,30/1,away
2022-11-23,Belgium,Canada,3/5,333/100,5/1,home
2022-11-23,Spain,Costa Rica,17/100,8/1,22/1,home
2022-11-23,Germany,Japan,9/20,4/1,13/2,away
2022-11-23,Morocco,Croatia,51/20,9/4,5/4,draw
2022-11-24,Brazil,Serbia,12/25,18/5,13/2,home
2022-11-24,Portugal,Ghana,33/100,19/4,10/1,home
2022-11-24,Uruguay,South Korea,4/5,51/20,21/5,draw
2022-11-24,Switzerland,Cameroon,83/100,49/20,9/2,home
2022-11-25,England,USA,1/2,333/100,15/2,draw
2022-11-25,Netherlands,Ecuador,43/50,5/2,41/10,draw
2022-11-25,Qatar,Senegal,21/4,53/20,37/50,away
2022-11-25,Wales,Iran,6/5,11/5,3/1,away
2022-11-26,Argentina,Mexico,29/50,31/10,7/1,home
2022-11-26,France,Denmark,43/50,13/5,19/5,home
2022-11-26,Poland,Saudi Arabia,37/50,53/20,5/1,home
2022-11-26,Tunisia,Australia,6/5,12/5,53/20,away
2022-11-27,Spain,Germany,8/5,5/2,47/25,draw
2022-11-27,Croatia,Canada,5/4,23/10,53/20,home
2022-11-27,Belgium,Morocco,19/20,5/2,15/4,away
2022-11-27,Japan,Costa Rica,51/100,333/100,27/4,away
2022-11-28,Portugal,Uruguay,19/20,12/5,18/5,home
2022-11-28,Brazil,Switzerland,1/2,67/20,15/2,home
2022-11-28,South Korea,Ghana,7/4,11/5,47/25,away
2022-11-28,Cameroon,Serbia,23/5,14/5,71/100,draw
2022-11-29,Wales,England,17/2,7/2,11/25,away
2022-11-29,Iran,USA,13/4,5/2,1/1,away
2022-11-29,Ecuador,Senegal,3/2,21/10,23/10,away
2022-11-29,Netherlands,Qatar,21/100,25/4,16/1,home
2022-11-30,Poland,Argentina,15/2,37/10,11/25,away
2022-11-30,Saudi Arabia,Mexico,9/2,67/20,31/50,away
2022-11-30,Australia,Denmark,7/1,4/1,11/25,home
2022-11-30,Tunisia,France,5/1,3/1,16/25,home
2022-12-01,Costa Rica,Germany,30/1,11/1,3/25,away
2022-12-01,Japan,Spain,13/2,18/5,1/2,home
2022-12-01,Croatia,Belgium,41/20,5/2,31/20,draw
2022-12-01,Canada,Morocco,4/1,51/20,43/50,away
2022-12-02,Cameroon,Brazil,10/1,9/2,37/100,home
2022-12-02,Serbia,Switzerland,31/20,12/5,19/10,away
2022-12-02,Ghana,Uruguay,18/5,29/10,41/50,away
2022-12-02,South Korea,Portugal,17/5,29/10,43/50,home
2022-12-03,Argentina,Australia,29/100,11/2,12/1,home
2022-12-03,Netherlands,USA,19/20,5/2,18/5,home
2022-12-04,England,Senegal,31/50,11/4,6/1,home
2022-12-04,France,Poland,2/5,41/10,8/1,home
2022-12-05,Brazil,South Korea,1/4,23/4,14/1,home
2022-12-05,Japan,Croatia,3/1,9/4,23/20,draw
2022-12-06,Portugal,Switzerland,1/1,53/20,7/2,home
2022-12-06,Morocco,Spain,11/2,3/1,31/50,draw
2022-12-09,Netherlands,Argentina,11/4,43/20,13/10,draw
2022-12-09,Croatia,Brazil,8/1,19/5,2/5,draw
2022-12-10,England,France,39/20,21/10,9/5,away
2022-12-10,Morocco,Portugal,11/2,3/1,61/100,home
2022-12-13,Argentina,Croatia,21/20,213/100,19/5,home
2022-12-14,France,Morocco,31/50,3/1,11/2,home
2022-12-17,Croatia,Morocco,5/4,13/5,43/20,home
2022-12-18,Argentina,France,17/10,11/5,19/10,draw
