date,home,away,score90,winner
2026-06-29,Germany,Paraguay,1-1,Paraguay
2026-06-29,Netherlands,Morocco,1-1,Morocco
2026-07-01,Belgium,Senegal,2-2,Belgium
2026-07-03,Australia,Egypt,1-1,Egypt
2026-07-03,Argentina,Cape Verde,1-1,Argentina
2026-07-07,Switzerland,Colombia,0-0,Switzerland
2026-07-11,Norway,England,1-1,England
2026-07-11,Argentina,Switzerland,1-1,Argentina
2026-07-19,Spain,Argentina,0-0,Spain
