team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Abkhazia,Sukhumi,Georgia,1,1.0,1,43.00697,40.9893,21.0,Europe/Moscow
Albania,Tirana,Albania,28,0.5957,1,41.32744,19.81866,113.0,Europe/Tirane
Albania,Elbasan,Albania,13,0.2766,2,41.11138,20.08224,126.0,Europe/Tirane
Albania,Shkodër,Albania,6,0.1277,3,42.06828,19.51258,12.0,Europe/Tirane
Alderney,Alderney,Alderney,5,1.0,1,,,,
Algeria,Blida,Algeria,16,0.3404,1,36.47004,2.8277,256.0,Africa/Algiers
Algeria,Algiers,Algeria,13,0.2766,2,36.73225,3.08746,113.0,Africa/Algiers
Algeria,Oran,Algeria,5,0.1064,3,35.69906,-0.63588,118.0,Africa/Algiers
Algeria,Constantine,Algeria,4,0.0851,4,36.365,6.61472,574.0,Africa/Algiers
Algeria,Tizi Ouzou,Algeria,4,0.0851,5,36.71182,4.04591,206.0,Africa/Algiers
Algeria,Annaba,Algeria,3,0.0638,6,36.9,7.76667,5.0,Africa/Algiers
Algeria,Bir El Djir,Algeria,1,0.0213,7,35.72,-0.545,162.0,Africa/Algiers
Algeria,Sidi Moussa,Algeria,1,0.0213,8,36.60637,3.08783,46.0,Africa/Algiers
Andorra,Andorra la Vella,Andorra,33,0.8049,1,42.50779,1.52109,1037.0,Europe/Andorra
Andorra,Sant Julià de Lòria,Andorra,5,0.122,2,42.46372,1.49129,921.0,Europe/Andorra
Andorra,Encamp,Andorra,3,0.0732,3,42.53474,1.58014,1257.0,Europe/Andorra
Angola,Luanda,Angola,22,0.9167,1,-8.83682,13.23432,73.0,Africa/Luanda
Angola,Lubango,Angola,1,0.0417,2,-14.91717,13.4925,1760.0,Africa/Luanda
Angola,Talatona,Angola,1,0.0417,3,-8.91783,13.18562,56.0,Africa/Luanda
Anguilla,The Valley,Anguilla,12,1.0,1,,,,
Antigua and Barbuda,North Sound,Antigua and Barbuda,10,0.5263,1,17.09563,-61.78366,24.0,America/Antigua
Antigua and Barbuda,Piggotts,Antigua and Barbuda,6,0.3158,2,17.11667,-61.8,11.0,America/Antigua
Antigua and Barbuda,St. John's,Antigua and Barbuda,3,0.1579,3,,,,
Argentina,Buenos Aires,Argentina,22,0.6875,1,-34.61315,-58.37723,31.0,America/Argentina/Buenos_Aires
Argentina,Córdoba,Argentina,3,0.0938,2,-31.40648,-64.18853,378.0,America/Argentina/Cordoba
Argentina,San Juan,Argentina,3,0.0938,3,-31.53726,-68.52568,646.0,America/Argentina/San_Juan
Argentina,Mendoza,Argentina,2,0.0625,4,-32.88946,-68.84582,853.0,America/Argentina/Mendoza
Argentina,Santiago del Estero,Argentina,2,0.0625,5,-27.80047,-64.26285,176.0,America/Argentina/Cordoba
Armenia,Yerevan,Armenia,45,1.0,1,40.17765,44.5126,1002.0,Asia/Yerevan
Artsakh,Martuni,Azerbaijan,3,0.6,1,39.79496,47.1117,391.0,Asia/Baku
Artsakh,Stepanakert,Azerbaijan,2,0.4,2,39.9013,46.7871,591.0,Asia/Baku
Aruba,Oranjestad,Aruba,6,1.0,1,,,,
Australia,Sydney,Australia,10,0.3448,1,-33.86785,151.20732,58.0,Australia/Sydney
Australia,Melbourne,Australia,8,0.2759,2,-37.814,144.96332,25.0,Australia/Melbourne
Australia,Canberra,Australia,3,0.1034,3,-35.28346,149.12807,571.0,Australia/Sydney
Australia,Perth,Australia,3,0.1034,4,-31.95224,115.8614,34.0,Australia/Perth
Australia,Adelaide,Australia,2,0.069,5,-34.92866,138.59863,59.0,Australia/Adelaide
Australia,Brisbane,Australia,2,0.069,6,-27.46794,153.02809,27.0,Australia/Brisbane
Australia,Robina,Australia,1,0.0345,7,-28.07071,153.3933,22.0,Australia/Brisbane
Austria,Vienna,Austria,38,0.7037,1,48.20849,16.37208,171.0,Europe/Vienna
Austria,Klagenfurt,Austria,7,0.1296,2,46.62472,14.30528,450.0,Europe/Vienna
Austria,Pasching,Austria,3,0.0556,3,48.25931,14.20369,294.0,Europe/Vienna
Austria,Innsbruck,Austria,2,0.037,4,47.26266,11.39454,570.0,Europe/Vienna
Austria,Linz,Austria,2,0.037,5,48.30639,14.28611,266.0,Europe/Vienna
Austria,Salzburg,Austria,2,0.037,6,47.79941,13.04399,424.0,Europe/Vienna
Azerbaijan,Baku,Azerbaijan,35,0.8333,1,40.37767,49.89201,23.0,Asia/Baku
Azerbaijan,Sumgait,Azerbaijan,3,0.0714,2,,,,
Azerbaijan,Mardakan,Azerbaijan,2,0.0476,3,40.49182,50.14292,4.0,Asia/Baku
Azerbaijan,Gabala,Azerbaijan,1,0.0238,4,40.98139,47.84583,783.0,Asia/Baku
Azerbaijan,Masazir,Azerbaijan,1,0.0238,5,,,,
Bahamas,Nassau,Bahamas,14,1.0,1,25.05823,-77.34306,5.0,America/Nassau
Bahrain,Riffa,Bahrain,37,0.6852,1,26.13,50.555,43.0,Asia/Bahrain
Bahrain,Isa Town,Bahrain,7,0.1296,2,26.17361,50.54778,7.0,Asia/Bahrain
Bahrain,Arad,Bahrain,5,0.0926,3,26.25611,50.63222,7.0,Asia/Bahrain
Bahrain,East Riffa,Bahrain,5,0.0926,4,,,,
Bangladesh,Dhaka,Bangladesh,23,0.8519,1,23.7104,90.40744,23.0,Asia/Dhaka
Bangladesh,Sylhet,Bangladesh,3,0.1111,2,24.89904,91.87198,26.0,Asia/Dhaka
Bangladesh,Nilphamari Sadar,Bangladesh,1,0.037,3,,,,
Barawa,London,England,5,0.4545,1,51.50853,-0.12574,25.0,Europe/London
Barawa,Sutton,England,2,0.1818,2,51.35,-0.2,83.0,Europe/London
Barawa,Bromley,England,1,0.0909,3,51.40606,0.01519,72.0,Europe/London
Barawa,Carshalton,England,1,0.0909,4,51.36829,-0.16755,39.0,Europe/London
Barawa,Haringey,England,1,0.0909,5,51.58333,-0.08333,15.0,Europe/London
Barawa,Rotherhithe,England,1,0.0909,6,51.5,-0.05,5.0,Europe/London
Barbados,Bridgetown,Barbados,19,0.95,1,13.10732,-59.62021,10.0,America/Barbados
Barbados,Wildey,Barbados,1,0.05,2,13.09385,-59.5834,76.0,America/Barbados
Basque Country,Bilbao,Spain,3,0.6,1,43.26271,-2.92528,20.0,Europe/Madrid
Basque Country,Eibar,Spain,1,0.2,2,43.18493,-2.47158,133.0,Europe/Madrid
Basque Country,Vitoria-Gasteiz,Spain,1,0.2,3,42.84998,-2.67268,547.0,Europe/Madrid
Belarus,Minsk,Belarus,16,0.6154,1,53.90019,27.56653,222.0,Europe/Minsk
Belarus,Borisov,Belarus,8,0.3077,2,54.2279,28.505,172.0,Europe/Minsk
Belarus,Brest,Belarus,1,0.0385,3,52.10894,23.71749,144.0,Europe/Minsk
Belarus,Zhodzina,Belarus,1,0.0385,4,54.0985,28.3331,171.0,Europe/Minsk
Belgium,Brussels,Belgium,37,0.7255,1,50.85045,4.34878,28.0,Europe/Brussels
Belgium,Leuven,Belgium,7,0.1373,2,50.87959,4.70093,28.0,Europe/Brussels
Belgium,Anderlecht,Belgium,2,0.0392,3,50.83619,4.31454,27.0,Europe/Brussels
Belgium,Liège,Belgium,2,0.0392,4,50.63373,5.56749,66.0,Europe/Brussels
Belgium,Bruges,Belgium,1,0.0196,5,51.20892,3.22424,13.0,Europe/Brussels
Belgium,Genk,Belgium,1,0.0196,6,50.965,5.50082,66.0,Europe/Brussels
Belgium,Ghent,Belgium,1,0.0196,7,51.05,3.71667,10.0,Europe/Brussels
Belize,Belmopan,Belize,24,0.96,1,17.25376,-88.76401,56.0,America/Belize
Belize,San Pedro,Belize,1,0.04,2,,,,
Benin,Cotonou,Benin,12,0.75,1,6.36536,2.41833,7.0,Africa/Porto-Novo
Benin,Porto-Novo,Benin,4,0.25,2,6.49646,2.60359,20.0,Africa/Porto-Novo
Bermuda,Hamilton,Bermuda,12,0.5714,1,,,,
Bermuda,Devonshire Parish,Bermuda,9,0.4286,2,,,,
Bhutan,Thimphu,Bhutan,10,1.0,1,27.46609,89.64191,2320.0,Asia/Thimphu
Bolivia,La Paz,Bolivia,18,0.5455,1,-16.5,-68.15,3782.0,America/La_Paz
Bolivia,El Alto,Bolivia,6,0.1818,2,,,,
Bolivia,Santa Cruz,Bolivia,4,0.1212,3,,,,
Bolivia,Cochabamba,Bolivia,1,0.0303,4,-17.38195,-66.15995,2537.0,America/La_Paz
Bolivia,Sucre,Bolivia,1,0.0303,5,-19.03332,-65.26274,2798.0,America/La_Paz
Bolivia,Tarija,Bolivia,1,0.0303,6,-21.53549,-64.72956,1870.0,America/La_Paz
Bolivia,Villa Tunari,Bolivia,1,0.0303,7,-18.79068,-68.61084,3857.0,America/La_Paz
Bolivia,Yacuiba,Bolivia,1,0.0303,8,-22.01643,-63.67753,629.0,America/La_Paz
Bonaire,Rincon,Bonaire,7,1.0,1,,,,
Bosnia and Herzegovina,Zenica,Bosnia and Herzegovina,36,0.8,1,44.20169,17.90397,325.0,Europe/Sarajevo
Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,9,0.2,2,43.84864,18.35644,509.0,Europe/Sarajevo
Botswana,Francistown,Botswana,19,0.76,1,-21.17,27.50778,989.0,Africa/Gaborone
Botswana,Gaborone,Botswana,5,0.2,2,-24.65451,25.90859,1011.0,Africa/Gaborone
Botswana,Lobatse,Botswana,1,0.04,3,-25.22435,25.67728,1191.0,Africa/Gaborone
Brazil,Rio de Janeiro,Brazil,11,0.275,1,-22.90642,-43.18223,12.0,America/Sao_Paulo
Brazil,São Paulo,Brazil,8,0.2,2,-23.5475,-46.63611,769.0,America/Sao_Paulo
Brazil,Brasília,Brazil,4,0.1,3,-15.77972,-47.92972,1136.0,America/Sao_Paulo
Brazil,Porto Alegre,Brazil,4,0.1,4,-30.03283,-51.23019,46.0,America/Sao_Paulo
Brazil,Belo Horizonte,Brazil,3,0.075,5,-19.92083,-43.93778,888.0,America/Sao_Paulo
Brazil,Manaus,Brazil,2,0.05,6,-3.10194,-60.025,20.0,America/Manaus
Brazil,Salvador,Brazil,2,0.05,7,-12.97563,-38.49096,4.0,America/Bahia
Brazil,Belém,Brazil,1,0.025,8,-1.45583,-48.50444,15.0,America/Belem
Brazil,Cuiabá,Brazil,1,0.025,9,-15.59611,-56.09667,193.0,America/Cuiaba
Brazil,Curitiba,Brazil,1,0.025,10,-25.42778,-49.27306,924.0,America/Sao_Paulo
Brazil,Goiânia,Brazil,1,0.025,11,-16.67861,-49.25389,766.0,America/Sao_Paulo
Brazil,Natal,Brazil,1,0.025,12,-5.795,-35.20944,32.0,America/Fortaleza
Brazil,Recife,Brazil,1,0.025,13,-8.05389,-34.88111,8.0,America/Recife
British Virgin Islands,Road Town,British Virgin Islands,6,0.8571,1,,,,
British Virgin Islands,Tortola,British Virgin Islands,1,0.1429,2,,,,
Brunei,Bandar Seri Begawan,Brunei,14,1.0,1,4.89035,114.94006,10.0,Asia/Brunei
Bulgaria,Sofia,Bulgaria,29,0.7073,1,42.69751,23.32415,562.0,Europe/Sofia
Bulgaria,Plovdiv,Bulgaria,6,0.1463,2,42.15387,24.75001,163.0,Europe/Sofia
Bulgaria,Razgrad,Bulgaria,6,0.1463,3,43.53331,26.51849,190.0,Europe/Sofia
Burkina Faso,Ouagadougou,Burkina Faso,15,1.0,1,12.36566,-1.53388,299.0,Africa/Ouagadougou
Burundi,Bujumbura,Burundi,10,1.0,1,-3.38193,29.36142,807.0,Africa/Bujumbura
Cambodia,Phnom Penh,Cambodia,40,1.0,1,11.56245,104.91601,20.0,Asia/Phnom_Penh
Cameroon,Yaoundé,Cameroon,23,0.6216,1,3.86667,11.51667,726.0,Africa/Douala
Cameroon,Douala,Cameroon,9,0.2432,2,4.04827,9.70428,19.0,Africa/Douala
Cameroon,Limbé,Cameroon,3,0.0811,3,4.02356,9.20607,74.0,Africa/Douala
Cameroon,Garoua,Cameroon,1,0.027,4,9.30143,13.39771,199.0,Africa/Douala
Cameroon,Majadahonda,Cameroon,1,0.027,5,,,,
Canada,Toronto,Canada,19,0.5938,1,43.70643,-79.39864,161.0,America/Toronto
Canada,Vancouver,Canada,6,0.1875,2,49.24966,-123.11934,70.0,America/Vancouver
Canada,Edmonton,Canada,3,0.0938,3,53.55014,-113.46871,668.0,America/Edmonton
Canada,Montreal,Canada,3,0.0938,4,45.50884,-73.58781,216.0,America/Toronto
Canada,Hamilton,Canada,1,0.0312,5,43.25011,-79.84963,95.0,America/Toronto
Canton Ticino,Tenero-Contra,Switzerland,1,1.0,1,,,,
Cape Verde,Praia,Cape Verde,20,0.8333,1,14.93152,-23.51254,,Atlantic/Cape_Verde
Cape Verde,Mindelo,Cape Verde,3,0.125,2,16.89014,-24.98042,44.0,Atlantic/Cape_Verde
Cape Verde,Fos-sur-Mer,Cape Verde,1,0.0417,3,,,,
Cascadia,Kent,United States,1,1.0,1,47.38093,-122.23484,13.0,America/Los_Angeles
Catalonia,Girona,Spain,2,1.0,1,41.98311,2.82493,81.0,Europe/Madrid
Cayman Islands,George Town,Cayman Islands,17,0.9444,1,,,,
Cayman Islands,West Bay,Cayman Islands,1,0.0556,2,,,,
Central African Republic,Bangui,Central African Republic,5,1.0,1,4.36122,18.55496,351.0,Africa/Bangui
Chad,N'Djamena,Chad,8,1.0,1,12.10672,15.0444,299.0,Africa/Ndjamena
Chile,Santiago,Chile,28,0.8,1,-33.45694,-70.64827,556.0,America/Santiago
Chile,Rancagua,Chile,2,0.0571,2,-34.1691,-70.74053,520.0,America/Santiago
Chile,Calama,Chile,1,0.0286,3,-22.45667,-68.92371,2275.0,America/Santiago
Chile,Concepción,Chile,1,0.0286,4,-36.82699,-73.04977,36.0,America/Santiago
Chile,Coquimbo,Chile,1,0.0286,5,-29.95332,-71.33947,22.0,America/Santiago
Chile,Temuco,Chile,1,0.0286,6,-38.73628,-72.59738,104.0,America/Santiago
Chile,Viña del Mar,Chile,1,0.0286,7,-33.02457,-71.55183,17.0,America/Santiago
China,Dalian,China,5,0.1389,1,38.91222,121.60222,33.0,Asia/Shanghai
China,Guangzhou,China,5,0.1389,2,23.11667,113.25,15.0,Asia/Shanghai
China,Nanning,China,4,0.1111,3,22.81667,108.31667,91.0,Asia/Shanghai
China,Suzhou,China,3,0.0833,4,33.63611,116.97889,34.0,Asia/Shanghai
China,Chengdu,China,2,0.0556,5,30.66667,104.06667,499.0,Asia/Shanghai
China,Chongqing,China,2,0.0556,6,29.56026,106.55771,289.0,Asia/Shanghai
China,Hangzhou,China,2,0.0556,7,30.29365,120.16142,12.0,Asia/Shanghai
China,Nanjing,China,2,0.0556,8,32.06167,118.77778,22.0,Asia/Shanghai
China,Shenyang,China,2,0.0556,9,41.79222,123.43278,53.0,Asia/Shanghai
China,Wuhan,China,2,0.0556,10,30.58333,114.26667,20.0,Asia/Shanghai
China,Changsha,China,1,0.0278,11,28.19874,112.97087,67.0,Asia/Shanghai
China,Kunming,China,1,0.0278,12,25.03889,102.71833,1895.0,Asia/Shanghai
China,Qingdao,China,1,0.0278,13,36.06488,120.38042,16.0,Asia/Shanghai
China,Shenzhen,China,1,0.0278,14,22.54554,114.0683,4.0,Asia/Shanghai
China,Tianjin,China,1,0.0278,15,39.14222,117.17667,11.0,Asia/Shanghai
China,Xi'an,China,1,0.0278,16,34.25833,108.92861,416.0,Asia/Shanghai
China,Xiamen,China,1,0.0278,17,24.47979,118.08187,12.0,Asia/Shanghai
Colombia,Barranquilla,Colombia,24,0.9231,1,10.96854,-74.78132,24.0,America/Bogota
Colombia,Bogotá,Colombia,2,0.0769,2,4.60971,-74.08175,2582.0,America/Bogota
Comoros,Moroni,Comoros,13,0.7222,1,-11.70216,43.25506,27.0,Indian/Comoro
Comoros,Mitsamiouli,Comoros,3,0.1667,2,-11.38472,43.28444,48.0,Indian/Comoro
Comoros,Iconi,Comoros,2,0.1111,3,,,,
Congo,Brazzaville,Congo,22,1.0,1,,,,
Corsica,Ajaccio,France,1,1.0,1,41.91886,8.73812,,Europe/Paris
Costa Rica,San José,Costa Rica,35,1.0,1,9.93388,-84.08489,1133.0,America/Costa_Rica
Croatia,Zagreb,Croatia,13,0.3023,1,45.81444,15.97798,135.0,Europe/Zagreb
Croatia,Rijeka,Croatia,10,0.2326,2,45.32673,14.44241,12.0,Europe/Zagreb
Croatia,Split,Croatia,8,0.186,3,43.50891,16.43915,12.0,Europe/Zagreb
Croatia,Osijek,Croatia,7,0.1628,4,45.55066,18.6942,87.0,Europe/Zagreb
Croatia,Varaždin,Croatia,3,0.0698,5,46.30444,16.33778,173.0,Europe/Zagreb
Croatia,Pula,Croatia,1,0.0233,6,44.86833,13.84806,11.0,Europe/Zagreb
Croatia,Velika Gorica,Croatia,1,0.0233,7,45.7125,16.07556,107.0,Europe/Zagreb
Cuba,Santiago de Cuba,Cuba,10,0.7143,1,20.02287,-75.82171,33.0,America/Havana
Cuba,Havana,Cuba,4,0.2857,2,23.13302,-82.38304,41.0,America/Havana
Curaçao,Willemstad,Curaçao,25,1.0,1,,,,
Cyprus,Nicosia,Cyprus,23,0.5,1,35.17284,33.35397,155.0,Asia/Nicosia
Cyprus,Larnaca,Cyprus,19,0.413,2,34.9221,33.62794,24.0,Asia/Nicosia
Cyprus,Limassol,Cyprus,4,0.087,3,34.68406,33.03794,27.0,Asia/Nicosia
Czech Republic,Prague,Czech Republic,24,0.5,1,50.08804,14.42076,202.0,Europe/Prague
Czech Republic,Olomouc,Czech Republic,7,0.1458,2,49.59552,17.25175,223.0,Europe/Prague
Czech Republic,Plzeň,Czech Republic,7,0.1458,3,49.67517,13.27462,354.0,Europe/Prague
Czech Republic,Hradec Králové,Czech Republic,3,0.0625,4,50.20923,15.83277,250.0,Europe/Prague
Czech Republic,Mladá Boleslav,Czech Republic,2,0.0417,5,50.41135,14.90318,241.0,Europe/Prague
Czech Republic,Ostrava,Czech Republic,2,0.0417,6,49.83465,18.28204,211.0,Europe/Prague
Czech Republic,Karviná,Czech Republic,1,0.0208,7,49.854,18.54169,221.0,Europe/Prague
Czech Republic,Uherské Hradiště,Czech Republic,1,0.0208,8,49.06975,17.45969,179.0,Europe/Prague
Czech Republic,Ústí nad Labem,Czech Republic,1,0.0208,9,50.6607,14.03227,150.0,Europe/Prague
DR Congo,Kinshasa,DR Congo,25,0.9615,1,,,,
DR Congo,Lubumbashi,DR Congo,1,0.0385,2,,,,
Denmark,Copenhagen,Denmark,40,0.7018,1,55.67594,12.56553,14.0,Europe/Copenhagen
Denmark,Brondbyvester,Denmark,4,0.0702,2,,,,
Denmark,Brøndby,Denmark,3,0.0526,3,55.6455,12.41008,11.0,Europe/Copenhagen
Denmark,Herning,Denmark,3,0.0526,4,56.13615,8.97662,60.0,Europe/Copenhagen
Denmark,Aalborg,Denmark,2,0.0351,5,57.048,9.9187,10.0,Europe/Copenhagen
Denmark,Aarhus,Denmark,2,0.0351,6,56.15674,10.21076,10.0,Europe/Copenhagen
Denmark,Odense,Denmark,2,0.0351,7,55.39594,10.38831,17.0,Europe/Copenhagen
Denmark,Horsens,Denmark,1,0.0175,8,55.86066,9.85034,4.0,Europe/Copenhagen
Djibouti,Djibouti,Djibouti,4,1.0,1,11.58901,43.14503,6.0,Africa/Djibouti
Dominica,Roseau,Dominica,11,1.0,1,15.30174,-61.38808,11.0,America/Dominica
Dominican Republic,Santiago de los Caballeros,Dominican Republic,15,0.4545,1,19.45036,-70.69085,209.0,America/Santo_Domingo
Dominican Republic,Santo Domingo,Dominican Republic,13,0.3939,2,18.47186,-69.89232,24.0,America/Santo_Domingo
Dominican Republic,San Cristóbal,Dominican Republic,5,0.1515,3,18.41713,-70.10682,45.0,America/Santo_Domingo
Donetsk PR,Donetsk,Ukraine,1,1.0,1,48.023,37.80224,223.0,Europe/Kyiv
Ecuador,Quito,Ecuador,19,0.6552,1,-0.22985,-78.52495,2854.0,America/Guayaquil
Ecuador,Guayaquil,Ecuador,8,0.2759,2,-2.19616,-79.88621,14.0,America/Guayaquil
Ecuador,Cuenca,Ecuador,1,0.0345,3,-2.8953,-78.9963,2484.0,America/Guayaquil
Ecuador,Portoviejo,Ecuador,1,0.0345,4,-1.05764,-80.45145,90.0,America/Guayaquil
Egypt,Cairo,Egypt,29,0.6304,1,30.06263,31.24967,23.0,Africa/Cairo
Egypt,Alexandria,Egypt,16,0.3478,2,31.20176,29.91582,9.0,Africa/Cairo
Egypt,New Cairo,Egypt,1,0.0217,3,30.03,31.47,271.0,Africa/Cairo
El Salvador,San Salvador,El Salvador,28,1.0,1,13.68935,-89.18718,653.0,America/El_Salvador
Elba Island,Capoliveri,Italy,2,1.0,1,42.74569,10.37753,167.0,Europe/Rome
England,London,England,57,0.9194,1,51.50853,-0.12574,25.0,Europe/London
England,Wolverhampton,England,2,0.0323,2,52.58547,-2.12296,160.0,Europe/London
England,Leeds,England,1,0.0161,3,53.79648,-1.54785,50.0,Europe/London
England,Manchester,England,1,0.0161,4,53.48095,-2.23743,51.0,Europe/London
England,Newcastle,England,1,0.0161,5,54.21804,-5.88979,5.0,Europe/London
Equatorial Guinea,Malabo,Equatorial Guinea,23,0.8519,1,3.75578,8.78166,34.0,Africa/Malabo
Equatorial Guinea,Bata,Equatorial Guinea,4,0.1481,2,1.86391,9.76582,13.0,Africa/Malabo
Eritrea,Asmara,Eritrea,1,1.0,1,15.33805,38.93184,2334.0,Africa/Asmara
Estonia,Tallinn,Estonia,42,0.9333,1,59.43696,24.75353,12.0,Europe/Tallinn
Estonia,Pärnu,Estonia,2,0.0444,2,58.38588,24.49711,6.0,Europe/Tallinn
Estonia,Rakvere,Estonia,1,0.0222,3,59.34808,26.35784,83.0,Europe/Tallinn
Eswatini,Manzini,Eswatini,7,0.875,1,-26.49884,31.38004,601.0,Africa/Mbabane
Eswatini,Lobamba,Eswatini,1,0.125,2,-26.46667,31.2,694.0,Africa/Mbabane
Ethiopia,Addis Ababa,Ethiopia,8,0.3333,1,9.02497,38.74689,2405.0,Africa/Addis_Ababa
Ethiopia,Bahir Dar,Ethiopia,8,0.3333,2,11.59364,37.39077,1799.0,Africa/Addis_Ababa
Ethiopia,Adama,Ethiopia,3,0.125,3,10.70587,39.55201,2732.0,Africa/Addis_Ababa
Ethiopia,Hawassa,Ethiopia,3,0.125,4,7.06205,38.47635,1697.0,Africa/Addis_Ababa
Ethiopia,Dire Dawa,Ethiopia,2,0.0833,5,9.59306,41.86611,1204.0,Africa/Addis_Ababa
Faroe Islands,Tórshavn,Faroe Islands,36,0.973,1,,,,
Faroe Islands,Toftir,Faroe Islands,1,0.027,2,,,,
Fiji,Suva,Fiji,10,0.625,1,-18.13683,178.42531,,Pacific/Fiji
Fiji,Lautoka,Fiji,6,0.375,2,-17.61686,177.45049,47.0,Pacific/Fiji
Finland,Helsinki,Finland,27,0.6429,1,60.16952,24.93545,26.0,Europe/Helsinki
Finland,Tampere,Finland,10,0.2381,2,61.49911,23.78712,114.0,Europe/Helsinki
Finland,Turku,Finland,5,0.119,3,60.45148,22.26869,22.0,Europe/Helsinki
France,Paris,France,28,0.4667,1,48.85341,2.3488,42.0,Europe/Paris
France,Saint-Denis,France,10,0.1667,2,48.93564,2.35387,34.0,Europe/Paris
France,Lyon,France,3,0.05,3,45.74906,4.84789,173.0,Europe/Paris
France,Marseille,France,3,0.05,4,43.29695,5.38107,28.0,Europe/Paris
France,Nice,France,3,0.05,5,43.70313,7.26608,25.0,Europe/Paris
France,Lille,France,2,0.0333,6,50.63391,3.05512,20.0,Europe/Paris
France,Nantes,France,2,0.0333,7,47.21725,-1.55336,19.0,Europe/Paris
France,Bordeaux,France,1,0.0167,8,44.84124,-0.58046,20.0,Europe/Paris
France,Décines-Charpieu,France,1,0.0167,9,45.76873,4.95883,189.0,Europe/Paris
France,Guingamp,France,1,0.0167,10,48.56259,-3.15289,73.0,Europe/Paris
France,Lens,France,1,0.0167,11,50.43302,2.82791,37.0,Europe/Paris
France,Metz,France,1,0.0167,12,49.11911,6.17269,182.0,Europe/Paris
France,Rennes,France,1,0.0167,13,48.11109,-1.67431,39.0,Europe/Paris
France,Strasbourg,France,1,0.0167,14,48.58392,7.74553,147.0,Europe/Paris
France,Toulouse,France,1,0.0167,15,43.60426,1.44367,150.0,Europe/Paris
France,Villeneuve-d'Ascq,France,1,0.0167,16,50.61669,3.16664,32.0,Europe/Paris
French Guiana,Cayenne,French Guiana,13,1.0,1,,,,
Gabon,Franceville,Gabon,21,0.7241,1,-1.63333,13.58357,405.0,Africa/Libreville
Gabon,Libreville,Gabon,8,0.2759,2,0.39241,9.45356,8.0,Africa/Libreville
Galicia,Vigo,Spain,1,1.0,1,42.23282,-8.72264,86.0,Europe/Madrid
Gambia,Bakau,Gambia,10,1.0,1,,,,
Georgia,Tbilisi,Georgia,41,0.8039,1,41.69143,44.83412,433.0,Asia/Tbilisi
Georgia,Batumi,Georgia,6,0.1176,2,41.64077,41.6306,8.0,Asia/Tbilisi
Georgia,Gori,Georgia,2,0.0392,3,41.98532,44.1129,602.0,Asia/Tbilisi
Georgia,Kutaisi,Georgia,2,0.0392,4,42.26791,42.69459,153.0,Asia/Tbilisi
Germany,Munich,Germany,8,0.1231,1,48.13743,11.57549,524.0,Europe/Berlin
Germany,Stuttgart,Germany,7,0.1077,2,48.78232,9.17702,252.0,Europe/Berlin
Germany,Cologne,Germany,5,0.0769,3,50.93333,6.95,58.0,Europe/Berlin
Germany,Dortmund,Germany,5,0.0769,4,51.51494,7.466,96.0,Europe/Berlin
Germany,Leipzig,Germany,5,0.0769,5,51.33962,12.37129,116.0,Europe/Berlin
Germany,Mönchengladbach,Germany,4,0.0615,6,51.18539,6.44172,57.0,Europe/Berlin
Germany,Düsseldorf,Germany,3,0.0462,7,51.22319,6.77927,42.0,Europe/Berlin
Germany,Frankfurt,Germany,3,0.0462,8,50.11552,8.68417,113.0,Europe/Berlin
Germany,Hamburg,Germany,3,0.0462,9,53.55073,9.99302,9.0,Europe/Berlin
Germany,Mainz,Germany,3,0.0462,10,49.98185,8.28008,125.0,Europe/Berlin
Germany,Sinsheim,Germany,3,0.0462,11,49.2529,8.87867,162.0,Europe/Berlin
Germany,Wolfsburg,Germany,3,0.0462,12,52.42452,10.7815,62.0,Europe/Berlin
Germany,Berlin,Germany,2,0.0308,13,52.52437,13.41053,74.0,Europe/Berlin
Germany,Duisburg,Germany,2,0.0308,14,51.43247,6.76516,38.0,Europe/Berlin
Germany,Gelsenkirchen,Germany,2,0.0308,15,51.50508,7.09654,48.0,Europe/Berlin
Germany,Nuremberg,Germany,2,0.0308,16,49.45421,11.07752,300.0,Europe/Berlin
Germany,Bremen,Germany,1,0.0154,17,53.07582,8.80717,17.0,Europe/Berlin
Germany,Freiburg,Germany,1,0.0154,18,47.9959,7.85222,278.0,Europe/Berlin
Germany,Hanover,Germany,1,0.0154,19,52.37052,9.73322,57.0,Europe/Berlin
Germany,Kaiserslautern,Germany,1,0.0154,20,49.443,7.77161,240.0,Europe/Berlin
Germany,Leverkusen,Germany,1,0.0154,21,51.0303,6.98432,52.0,Europe/Berlin
Ghana,Accra,Ghana,10,0.3448,1,5.55602,-0.1969,33.0,Africa/Accra
Ghana,Kumasi,Ghana,10,0.3448,2,6.68848,-1.62443,270.0,Africa/Accra
Ghana,Cape Coast,Ghana,8,0.2759,3,5.10535,-1.2466,21.0,Africa/Accra
Ghana,Tamale,Ghana,1,0.0345,4,9.40079,-0.8393,196.0,Africa/Accra
Gibraltar,Gibraltar,Gibraltar,31,0.9394,1,,,,
Gibraltar,Europa Point,Gibraltar,2,0.0606,2,,,,
Gotland,Visby,Sweden,3,0.75,1,57.64089,18.29602,22.0,Europe/Stockholm
Gotland,Dalhem,Sweden,1,0.25,2,57.98333,16.18333,119.0,Europe/Stockholm
Greece,Athens,Greece,28,0.6087,1,37.98376,23.72784,70.0,Europe/Athens
