team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Senegal,Thiès,Senegal,9,0.2727,3,14.78944,-16.92602,72.0,Africa/Dakar
Serbia,Belgrade,Serbia,31,0.8158,1,44.80401,20.46513,120.0,Europe/Belgrade
Serbia,Leskovac,Serbia,6,0.1579,2,42.99806,21.94611,230.0,Europe/Belgrade
Serbia,Bačka Topola,Serbia,1,0.0263,3,45.81516,19.6318,94.0,Europe/Belgrade
Seychelles,Victoria,Seychelles,6,1.0,1,-4.62001,55.45501,4.0,Indian/Mahe
Sierra Leone,Freetown,Sierra Leone,3,0.75,1,8.48714,-13.2356,38.0,Africa/Freetown
Sierra Leone,Bo,Sierra Leone,1,0.25,2,7.96472,-11.73833,104.0,Africa/Freetown
Singapore,Kallang,Singapore,33,0.66,1,1.33333,103.86667,18.0,Asia/Singapore
Singapore,Singapore,Singapore,10,0.2,2,1.28967,103.85007,23.0,Asia/Singapore
Singapore,Bishan,Singapore,7,0.14,3,1.3504,103.84875,16.0,Asia/Singapore
Sint Maarten,Philipsburg,Sint Maarten,2,1.0,1,,,,
Slovakia,Trnava,Slovakia,26,0.5652,1,48.37773,17.58603,147.0,Europe/Bratislava
Slovakia,Bratislava,Slovakia,16,0.3478,2,48.14816,17.10674,157.0,Europe/Bratislava
Slovakia,Košice,Slovakia,3,0.0652,3,48.71441,21.25802,205.0,Europe/Bratislava
Slovakia,Dunajská Streda,Slovakia,1,0.0217,4,47.99268,17.61211,117.0,Europe/Bratislava
Slovenia,Ljubljana,Slovenia,43,0.9348,1,46.05108,14.50513,295.0,Europe/Ljubljana
Slovenia,Celje,Slovenia,1,0.0217,2,46.23092,15.26044,240.0,Europe/Ljubljana
Slovenia,Koper,Slovenia,1,0.0217,3,45.5482,13.72963,12.0,Europe/Ljubljana
Slovenia,Maribor,Slovenia,1,0.0217,4,46.55583,15.64593,262.0,Europe/Ljubljana
Solomon Islands,Honiara,Solomon Islands,15,1.0,1,-9.43333,159.95,49.0,Pacific/Guadalcanal
South Africa,Johannesburg,South Africa,19,0.2603,1,-26.20227,28.04363,1767.0,Africa/Johannesburg
South Africa,Durban,South Africa,16,0.2192,2,-29.8579,31.0292,21.0,Africa/Johannesburg
South Africa,Port Elizabeth,South Africa,8,0.1096,3,-33.96109,25.61494,61.0,Africa/Johannesburg
South Africa,Polokwane,South Africa,7,0.0959,4,-23.90449,29.46885,1315.0,Africa/Johannesburg
South Africa,Bloemfontein,South Africa,3,0.0411,5,-29.12107,26.214,1396.0,Africa/Johannesburg
South Africa,Mbombela,South Africa,3,0.0411,6,-25.47512,30.96935,658.0,Africa/Johannesburg
South Africa,Rustenburg,South Africa,3,0.0411,7,-25.66756,27.24208,1171.0,Africa/Johannesburg
South Africa,Saulspoort,South Africa,3,0.0411,8,-25.16092,27.16296,1086.0,Africa/Johannesburg
South Africa,Cape Town,South Africa,2,0.0274,9,-33.92584,18.42322,25.0,Africa/Johannesburg
South Africa,Clermont,South Africa,2,0.0274,10,,,,
South Africa,Gqeberha,South Africa,2,0.0274,11,-33.96109,25.61494,61.0,Africa/Johannesburg
South Africa,KwaMashu,South Africa,2,0.0274,12,-29.75105,30.96204,126.0,Africa/Johannesburg
South Africa,East London,South Africa,1,0.0137,13,-33.01529,27.91162,48.0,Africa/Johannesburg
South Africa,Nelspruit,South Africa,1,0.0137,14,-25.5005,30.91358,885.0,Africa/Johannesburg
South Africa,Pretoria,South Africa,1,0.0137,15,-25.74486,28.18783,1332.0,Africa/Johannesburg
South Korea,Seoul,South Korea,22,0.4,1,37.566,126.9784,38.0,Asia/Seoul
South Korea,Goyang,South Korea,7,0.1273,2,36.21689,127.19731,27.0,Asia/Seoul
South Korea,Suwon,South Korea,7,0.1273,3,37.29111,127.00889,58.0,Asia/Seoul
South Korea,Busan,South Korea,5,0.0909,4,35.10168,129.03004,15.0,Asia/Seoul
South Korea,Daejeon,South Korea,3,0.0545,5,36.34913,127.38493,58.0,Asia/Seoul
South Korea,Ulsan,South Korea,3,0.0545,6,35.53722,129.31667,10.0,Asia/Seoul
South Korea,Cheonan,South Korea,2,0.0364,7,36.8065,127.1522,40.0,Asia/Seoul
South Korea,Hwaseong,South Korea,2,0.0364,8,35.24246,126.59882,94.0,Asia/Seoul
South Korea,Ansan,South Korea,1,0.0182,9,35.46836,126.52613,15.0,Asia/Seoul
South Korea,Daegu,South Korea,1,0.0182,10,35.87028,128.59111,45.0,Asia/Seoul
South Korea,Jeonju,South Korea,1,0.0182,11,35.82194,127.14889,44.0,Asia/Seoul
South Korea,Yongin,South Korea,1,0.0182,12,34.53333,126.28333,3.0,Asia/Seoul
South Ossetia,Tskhinvali,Georgia,1,1.0,1,42.18846,43.93788,844.0,Asia/Tbilisi
South Sudan,Juba,South Sudan,11,1.0,1,4.85165,31.58247,518.0,Africa/Juba
Spain,Seville,Spain,10,0.2,1,37.38283,-5.97317,16.0,Europe/Madrid
Spain,Madrid,Spain,8,0.16,2,40.4165,-3.70256,665.0,Europe/Madrid
Spain,Granada,Spain,3,0.06,3,37.18817,-3.60667,689.0,Europe/Madrid
Spain,Málaga,Spain,3,0.06,4,36.72016,-4.42034,22.0,Europe/Madrid
Spain,A Coruña,Spain,2,0.04,5,43.37135,-8.396,22.0,Europe/Madrid
Spain,Badajoz,Spain,2,0.04,6,38.87789,-6.97061,192.0,Europe/Madrid
Spain,Barcelona,Spain,2,0.04,7,41.38879,2.15899,15.0,Europe/Madrid
Spain,Elche,Spain,2,0.04,8,38.26218,-0.70107,96.0,Europe/Madrid
Spain,Murcia,Spain,2,0.04,9,37.98704,-1.13004,53.0,Europe/Madrid
Spain,Valencia,Spain,2,0.04,10,39.47391,-0.37966,15.0,Europe/Madrid
Spain,Valladolid,Spain,2,0.04,11,41.65541,-4.72353,702.0,Europe/Madrid
Spain,Villarreal,Spain,2,0.04,12,38.72572,-7.21533,42.0,Europe/Madrid
Spain,Alicante,Spain,1,0.02,13,38.34517,-0.48149,18.0,Europe/Madrid
Spain,Cádiz,Spain,1,0.02,14,36.52672,-6.2891,22.0,Europe/Madrid
Spain,Córdoba,Spain,1,0.02,15,37.89155,-4.77275,117.0,Europe/Madrid
Spain,Gijón,Spain,1,0.02,16,43.53573,-5.66152,22.0,Europe/Madrid
Spain,Las Palmas,Spain,1,0.02,17,28.10178,-15.41573,122.0,Atlantic/Canary
Spain,Leganés,Spain,1,0.02,18,40.32718,-3.7635,672.0,Europe/Madrid
Spain,León,Spain,1,0.02,19,42.60003,-5.57032,844.0,Europe/Madrid
Spain,Mallorca,Spain,1,0.02,20,39.6078,3.01197,201.0,Europe/Madrid
Spain,Santa Cruz de Tenerife,Spain,1,0.02,21,28.46824,-16.25462,10.0,Atlantic/Canary
Spain,Zaragoza,Spain,1,0.02,22,41.65606,-0.87734,214.0,Europe/Madrid
Sri Lanka,Colombo,Sri Lanka,18,1.0,1,6.93548,79.84868,7.0,Asia/Colombo
Sudan,Omdurman,Sudan,9,0.75,1,15.64453,32.47773,391.0,Africa/Khartoum
Sudan,Khartoum,Sudan,2,0.1667,2,15.55177,32.53241,381.0,Africa/Khartoum
Sudan,al-Ubayyid,Sudan,1,0.0833,3,13.18421,30.21669,573.0,Africa/Khartoum
Suriname,Paramaribo,Suriname,23,1.0,1,5.86638,-55.16682,5.0,America/Paramaribo
Sweden,Stockholm,Sweden,32,0.6275,1,59.32938,18.06871,17.0,Europe/Stockholm
Sweden,Solna,Sweden,16,0.3137,2,59.36004,18.00086,22.0,Europe/Stockholm
