recorded_at,match_date,competition,team,player,reason,status
2026-07-02T23:04:18+00:00,2026-07-07,Champions League,Shamrock Rovers,Daniel Grant,Muscle Injury,injured
2026-07-02T23:04:18+00:00,2026-07-07,Champions League,Shamrock Rovers,Victor Ozhianvuna,Muscle Injury,injured
2026-07-02T23:04:18+00:00,2026-07-14,Champions League,Shamrock Rovers,Daniel Grant,Muscle Injury,injured
2026-07-02T23:04:18+00:00,2026-07-14,Champions League,Shamrock Rovers,Victor Ozhianvuna,Muscle Injury,injured
