team,conference,games,exp_wins,sd,p25,median,p75,nearest_line,p_over_line,p_bowl_6plus
Colorado,Big 12,12,4.62,1.54,4,5,6,4.5,0.518,0.276
Sam Houston,Conference USA,12,4.61,1.51,4,5,6,4.5,0.521,0.273
New Mexico State,Conference USA,12,4.59,1.58,4,5,6,4.5,0.513,0.277
Boston College,ACC,12,4.57,1.45,4,5,6,4.5,0.51,0.255
Tulsa,American Athletic,12,4.56,1.47,4,5,6,4.5,0.508,0.257
Mississippi State,SEC,12,4.55,1.43,4,4,5,4.5,0.5,0.246
UAB,American Athletic,12,4.46,1.44,3,4,5,3.5,0.744,0.229
Southern Miss,Sun Belt,12,4.42,1.5,3,4,5,3.5,0.723,0.23
Oregon State,Pac-12,11,4.41,1.47,3,4,5,3.5,0.726,0.224
Ball State,Mid-American,12,4.41,1.47,3,4,5,3.5,0.729,0.225
North Carolina,ACC,12,4.36,1.48,3,4,5,3.5,0.71,0.214
Michigan State,Big Ten,12,4.25,1.53,3,4,5,3.5,0.681,0.205
UL Monroe,Sun Belt,12,4.24,1.53,3,4,5,3.5,0.676,0.201
UTEP,Mountain West,12,4.21,1.48,3,4,5,3.5,0.677,0.189
Rice,American Athletic,12,4.16,1.46,3,4,5,3.5,0.666,0.176
Georgia State,Sun Belt,12,4.07,1.49,3,4,5,3.5,0.637,0.166
Syracuse,ACC,12,4.06,1.48,3,4,5,3.5,0.634,0.163
Stanford,ACC,12,3.99,1.43,3,4,5,3.5,0.619,0.144
Oklahoma State,Big 12,12,3.73,1.4,3,4,5,3.5,0.547,0.104
Kent State,Mid-American,12,3.72,1.4,3,4,5,3.5,0.551,0.102
Colorado State,Pac-12,11,3.6,1.38,3,4,4,3.5,0.513,0.087
Purdue,Big Ten,12,3.51,1.34,3,3,4,3.5,0.485,0.073
Massachusetts,Mid-American,12,3.4,1.36,2,3,4,2.5,0.741,0.063
Charlotte,American Athletic,12,2.97,1.34,2,3,4,2.5,0.616,0.035
