date,tourney_id,tourney_name,tour,surface,round,best_of,winner,loser,winner_rank,loser_rank,winner_sets,loser_sets,score,w_sv_pts,w_sv_won,l_sv_pts,l_sv_won
2023-01-01,mcp-202301-adelaide,Adelaide,wta,hard,R32,3,Garbine Muguruza,Bianca Andreescu,9999,9999,0,0,,,,,
2023-01-02,2023-2843,Adelaide-1,atp,hard,F,3,Novak Djokovic,Sebastian Korda,5,33,2,1,6-7(8) 7-6(3) 6-4,99,78,129,86
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Yoshihito Nishioka,Alexei Popyrin,36,120,2,1,7-6(4) 6-7(8) 6-2,106,76,103,68
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Sebastian Korda,Jannik Sinner,33,15,2,0,7-5 6-1,52,37,53,29
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Daniil Medvedev,Karen Khachanov,7,20,2,0,6-3 6-3,51,36,60,31
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Novak Djokovic,Denis Shapovalov,5,18,2,0,6-3 6-4,70,47,72,39
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Alexei Popyrin,Marcos Giron,120,61,2,1,4-6 6-4 6-3,83,62,79,54
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Yoshihito Nishioka,Mackenzie McDonald,36,63,2,0,6-4 6-3,72,46,57,34
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Sebastian Korda,Roberto Bautista Agut,33,21,2,0,6-4 6-4,57,43,47,32
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Jannik Sinner,Thanasi Kokkinakis,15,93,2,0,7-6(2) 6-4,78,52,72,46
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Karen Khachanov,Jack Draper,20,42,2,0,6-4 6-2,53,41,67,37
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Daniil Medvedev,Miomir Kecmanovic,7,29,2,0,6-0 6-3,51,36,42,19
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Denis Shapovalov,Roman Safiullin,18,88,2,0,6-4 6-3,44,34,70,40
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Novak Djokovic,Quentin Halys,5,64,2,0,7-6(3) 7-6(5),76,58,82,55
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Alexei Popyrin,Felix Auger-Aliassime,120,6,2,0,6-4 7-6(5),67,48,66,44
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Marcos Giron,Richard Gasquet,61,68,2,1,7-6(5) 6-7(6) 7-5,110,82,139,89
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Mackenzie McDonald,Daniel Elahi Galan,63,67,1,0,6-3 RET,20,16,39,22
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Yoshihito Nishioka,Holger Rune,36,11,2,1,2-6 6-4 6-4,86,52,95,56
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Roberto Bautista Agut,Andrey Rublev,21,8,2,1,4-6 6-3 6-4,79,57,81,51
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Sebastian Korda,Andy Murray,33,49,2,0,7-6(3) 6-3,64,48,69,41
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Thanasi Kokkinakis,Maxime Cressy,93,34,2,0,7-6(4) 7-6(7),72,58,82,57
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Jannik Sinner,Kyle Edmund,15,582,2,0,6-3 6-2,41,36,48,26
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Karen Khachanov,Pedro Cachin,20,57,2,0,6-2 6-4,61,42,57,30
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Jack Draper,Soonwoo Kwon,42,83,2,0,6-2 6-1,35,29,52,22
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Miomir Kecmanovic,Christopher O'Connell,29,78,2,0,6-4 6-4,74,47,55,32
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Daniil Medvedev,Lorenzo Sonego,7,45,2,0,7-6(6) 2-1 RET,70,45,57,36
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Denis Shapovalov,Rinky Hijikata,18,164,2,1,2-6 6-4 6-3,77,48,93,55
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Roman Safiullin,Mikael Ymer,88,69,2,0,6-4 6-2,65,44,61,33
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Quentin Halys,Jordan Thompson,64,84,2,0,6-3 6-4,47,40,65,38
2023-01-02,2023-2843,Adelaide-1,atp,hard,R32,3,Novak Djokovic,Constant Lestienne,5,65,2,0,6-3 6-2,47,38,56,32
2023-01-02,2023-2843,Adelaide-1,atp,hard,SF,3,Sebastian Korda,Yoshihito Nishioka,33,36,2,0,7-6(5) 1-0 RET,40,31,54,35
2023-01-02,2023-2843,Adelaide-1,atp,hard,SF,3,Novak Djokovic,Daniil Medvedev,5,7,2,0,6-3 6-4,61,45,48,32
2023-01-02,2023-891,Pune,atp,hard,F,3,Tallon Griekspoor,Benjamin Bonzi,95,60,2,1,4-6 7-5 6-3,86,61,102,65
2023-01-02,2023-891,Pune,atp,hard,QF,3,Botic van de Zandschulp,Maximilian Marterer,35,159,2,0,6-4 6-2,44,36,51,29
2023-01-02,2023-891,Pune,atp,hard,QF,3,Benjamin Bonzi,Filip Krajinovic,60,54,2,0,7-6(5) 6-4,77,45,90,49
2023-01-02,2023-891,Pune,atp,hard,QF,3,Aslan Karatsev,Pedro Martinez,59,62,2,0,6-1 6-2,58,39,44,21
2023-01-02,2023-891,Pune,atp,hard,QF,3,Tallon Griekspoor,Marin Cilic,95,17,0,0,W/O,,,,
2023-01-02,2023-891,Pune,atp,hard,R16,3,Botic van de Zandschulp,Flavio Cobolli,35,171,2,0,7-5 6-4,64,43,59,33
2023-01-02,2023-891,Pune,atp,hard,R16,3,Maximilian Marterer,Laslo Djere,159,70,2,0,7-6(5) 6-2,63,48,66,43
2023-01-02,2023-891,Pune,atp,hard,R16,3,Benjamin Bonzi,Emil Ruusuvuori,60,40,2,0,6-1 7-6(4),65,47,50,34
2023-01-02,2023-891,Pune,atp,hard,R16,3,Filip Krajinovic,Michael Mmoh,54,113,2,1,2-6 6-3 6-4,93,59,72,48
2023-01-02,2023-891,Pune,atp,hard,R16,3,Aslan Karatsev,Tim van Rijthoven,59,111,2,0,7-6(7) 7-6(8),88,63,91,63
2023-01-02,2023-891,Pune,atp,hard,R16,3,Pedro Martinez,Sebastian Baez,62,43,2,1,3-6 6-1 6-3,77,52,85,49
2023-01-02,2023-891,Pune,atp,hard,R16,3,Tallon Griekspoor,Marco Cecchinato,95,101,2,0,6-4 6-4,54,43,58,37
2023-01-02,2023-891,Pune,atp,hard,R16,3,Marin Cilic,Roberto Carballes Baena,17,74,2,1,6-3 3-6 6-1,76,54,74,44
2023-01-02,2023-891,Pune,atp,hard,R32,3,Flavio Cobolli,Mukund Sasikumar,171,340,2,0,6-4 7-5,65,41,67,34
2023-01-02,2023-891,Pune,atp,hard,R32,3,Maximilian Marterer,Elias Ymer,159,127,2,1,6-2 3-6 6-3,65,46,84,49
2023-01-02,2023-891,Pune,atp,hard,R32,3,Laslo Djere,Alex Molcan,70,50,2,0,6-2 6-4,41,36,55,32
2023-01-02,2023-891,Pune,atp,hard,R32,3,Benjamin Bonzi,Chun-Hsin Tseng,60,115,2,0,6-0 6-3,39,32,45,20
2023-01-02,2023-891,Pune,atp,hard,R32,3,Michael Mmoh,Manas Dhamne,113,9999,2,0,6-2 6-4,49,34,59,31
2023-01-02,2023-891,Pune,atp,hard,R32,3,Filip Krajinovic,Sumit Nagal,54,503,2,1,6-4 4-6 6-4,89,64,96,63
2023-01-02,2023-891,Pune,atp,hard,R32,3,Aslan Karatsev,Pablo Andujar,59,121,2,0,6-1 6-3,40,32,47,21
2023-01-02,2023-891,Pune,atp,hard,R32,3,Tim van Rijthoven,Radu Albot,111,103,2,0,6-4 6-4,58,43,60,38
2023-01-02,2023-891,Pune,atp,hard,R32,3,Pedro Martinez,Ramkumar Ramanathan,62,435,2,1,3-6 7-5 6-3,103,65,92,56
2023-01-02,2023-891,Pune,atp,hard,R32,3,Tallon Griekspoor,Jaume Munar,95,58,2,0,6-4 7-5,63,45,60,39
2023-01-02,2023-891,Pune,atp,hard,R32,3,Marco Cecchinato,Nikoloz Basilashvili,101,91,2,0,6-2 6-2,43,34,47,24
2023-01-02,2023-891,Pune,atp,hard,R32,3,Roberto Carballes Baena,Bernabe Zapata Miralles,74,72,2,0,6-1 7-5,60,38,79,41
2023-01-02,2023-891,Pune,atp,hard,SF,3,Benjamin Bonzi,Botic van de Zandschulp,60,35,2,1,7-6(5) 6-7(5) 6-1,101,70,106,66
2023-01-02,2023-891,Pune,atp,hard,SF,3,Tallon Griekspoor,Aslan Karatsev,95,59,2,0,7-6(4) 6-1,53,45,59,36
2023-01-02,2023-9900,United Cup,atp,hard,F,3,Frances Tiafoe,Lorenzo Musetti,19,23,1,0,6-2 RET,27,18,21,11
2023-01-02,2023-9900,United Cup,atp,hard,F,3,Taylor Fritz,Matteo Berrettini,9,16,2,0,7-6(4) 7-6(6),85,61,97,62
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Borna Gojo,Federico Coria,144,75,2,0,7-6(5) 6-4,66,47,81,52
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Borna Coric,Francisco Cerundolo,26,30,2,0,7-5 6-4,81,49,70,39
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Adrian Mannarino,Federico Coria,46,75,2,0,6-1 6-0,44,30,56,21
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Arthur Rinderknech,Francisco Cerundolo,44,30,2,0,6-4 6-2,64,41,57,32
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Borna Gojo,Adrian Mannarino,144,46,2,1,7-6(5) 3-6 7-6(5),110,74,104,72
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Borna Coric,Arthur Rinderknech,26,44,2,0,7-6(1) 7-6(2),65,55,81,53
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Felipe Meligeni Alves,Viktor Durasovic,166,343,2,0,6-3 6-3,59,42,73,39
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Casper Ruud,Thiago Monteiro,3,71,2,0,6-3 6-2,49,32,41,19
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Lorenzo Musetti,Viktor Durasovic,23,343,2,0,7-6(7) 6-3,69,51,81,47
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Matteo Berrettini,Casper Ruud,16,3,2,0,6-4 6-4,60,44,52,35
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Lorenzo Musetti,Felipe Meligeni Alves,23,166,2,0,6-3 6-4,55,37,50,27
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Matteo Berrettini,Thiago Monteiro,16,71,2,0,6-4 7-6(7),64,52,72,51
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Jason Kubler,Daniel Evans,107,27,2,0,6-3 7-6(3),67,45,64,39
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Cameron Norrie,Alex de Minaur,14,24,2,0,6-3 6-3,56,40,55,33
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Daniel Evans,Albert Ramos-Vinolas,27,39,2,1,6-3 1-6 6-3,73,47,82,46
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Cameron Norrie,Rafael Nadal,14,2,2,1,3-6 6-3 6-4,88,60,95,61
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Jason Kubler,Albert Ramos-Vinolas,107,39,2,1,6-3 4-6 6-3,78,55,82,52
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Alex de Minaur,Rafael Nadal,24,2,2,1,3-6 6-1 7-5,100,58,92,50
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Oscar Otte,Dalibor Svrcina,76,222,2,0,7-6(1) 6-2,67,38,73,34
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Jiri Lehecka,Alexander Zverev,81,12,2,0,6-4 6-2,67,44,56,30
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Frances Tiafoe,Tomas Machac,19,97,1,1,6-3 2-4 RET,55,34,59,33
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Taylor Fritz,Jiri Lehecka,9,81,2,0,6-3 6-4,68,46,48,32
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Frances Tiafoe,Oscar Otte,19,76,2,0,7-5 6-4,56,45,58,41
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Taylor Fritz,Alexander Zverev,9,12,2,0,6-1 6-4,45,37,60,34
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Marc-Andrea Huesler,Timofey Skatov,56,142,2,1,4-6 6-3 6-3,99,64,88,54
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Stan Wawrinka,Alexander Bublik,148,37,2,0,6-3 7-6(3),63,48,59,41
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Timofey Skatov,Daniel Michalski,142,260,2,0,7-6(7) 6-2,78,55,93,55
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Hubert Hurkacz,Alexander Bublik,10,37,2,1,7-6(8) 4-6 6-3,94,72,104,73
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Marc-Andrea Huesler,Daniel Michalski,56,260,2,0,6-3 6-2,52,38,46,25
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Hubert Hurkacz,Stan Wawrinka,10,148,2,0,7-6(5) 6-4,62,48,67,47
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Dimitar Kuzmanov,Zizou Bergs,196,129,2,0,6-2 6-0,48,33,56,24
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Grigor Dimitrov,David Goffin,28,53,2,0,6-4 7-5,72,47,64,38
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Dimitar Kuzmanov,Michail Pervolarakis,196,506,2,0,6-1 6-1,36,29,48,20
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Stefanos Tsitsipas,Grigor Dimitrov,4,28,2,1,4-6 6-2 7-6(4),95,68,87,63
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Stefanos Sakellaridis,Zizou Bergs,803,129,2,1,5-7 6-1 6-3,86,58,86,49
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Stefanos Tsitsipas,David Goffin,4,53,2,0,6-3 6-2,61,39,49,26
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Frances Tiafoe,Daniel Evans,19,27,2,1,3-6 7-5 6-3,87,56,82,52
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Cameron Norrie,Taylor Fritz,14,9,2,1,6-4 5-7 6-4,91,62,95,60
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Lorenzo Musetti,Daniel Michalski,23,260,2,0,6-1 6-1,31,28,40,17
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Matteo Berrettini,Hubert Hurkacz,16,10,2,1,6-4 3-6 6-3,77,55,79,52
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Borna Gojo,Stefanos Sakellaridis,144,803,2,0,6-4 6-2,50,38,78,42
2023-01-02,2023-9900,United Cup,atp,hard,RR,3,Stefanos Tsitsipas,Borna Coric,4,26,2,1,6-0 6-7(4) 7-5,94,65,88,54
2023-01-02,2023-9900,United Cup,atp,hard,SF,3,Lorenzo Musetti,Stefanos Sakellaridis,23,803,2,0,6-1 6-1,41,30,43,20
2023-01-02,2023-9900,United Cup,atp,hard,SF,3,Stefanos Tsitsipas,Matteo Berrettini,4,16,2,1,4-6 7-6(2) 6-4,98,71,89,66
2023-01-02,2023-9900,United Cup,atp,hard,SF,3,Frances Tiafoe,Kacper Zuk,19,245,2,0,6-3 6-3,61,42,68,38
2023-01-02,2023-9900,United Cup,atp,hard,SF,3,Taylor Fritz,Hubert Hurkacz,9,10,2,0,7-6(5) 7-6(5),80,63,82,58
2023-01-02,mcp-202301-adelaide,Adelaide,wta,hard,R32,3,Linda Noskova,Daria Kasatkina,9999,9999,0,0,,,,,
2023-01-02,mcp-202301-adelaide,Adelaide,wta,hard,R32,3,Amanda Anisimova,Veronika Kudermetova,9999,9999,0,0,,,,,
2023-01-02,mcp-202301-auckland,Auckland,wta,hard,R32,3,Venus Williams,Katie Volynets,9999,9999,0,0,,,,,
2023-01-03,mcp-202301-adelaide,Adelaide,wta,hard,R16,3,Aryna Sabalenka,Liudmila Samsonova,9999,9999,0,0,,,,,
2023-01-03,mcp-202301-auckland,Auckland,wta,hard,R32,3,Linda Fruhvirtova,Emma Raducanu,9999,9999,0,0,,,,,
2023-01-03,mcp-202301-auckland,Auckland,wta,hard,R32,3,Elena Gabriela Ruse,Erin Routliffe,9999,9999,0,0,,,,,
2023-01-03,mcp-202301-auckland,Auckland,wta,hard,R32,3,Coco Gauff,Tatjana Maria,9999,9999,0,0,,,,,
2023-01-04,mcp-202301-adelaide,Adelaide,wta,hard,R16,3,Veronika Kudermetova,Bianca Andreescu,9999,9999,0,0,,,,,
2023-01-09,2023-301,Auckland,atp,hard,F,3,Richard Gasquet,Cameron Norrie,67,12,2,1,4-6 6-4 6-4,88,57,86,53
2023-01-09,2023-301,Auckland,atp,hard,QF,3,Cameron Norrie,Marcos Giron,12,60,2,1,6-1 6-7(5) 6-2,88,57,80,43
2023-01-09,2023-301,Auckland,atp,hard,QF,3,Jenson Brooksby,Quentin Halys,48,64,2,0,7-6(3) 7-6(2),82,55,75,49
2023-01-09,2023-301,Auckland,atp,hard,QF,3,Richard Gasquet,David Goffin,67,53,2,1,1-6 6-1 6-1,61,36,64,29
2023-01-09,2023-301,Auckland,atp,hard,QF,3,Constant Lestienne,Laslo Djere,65,70,2,1,2-6 7-6(2) 7-5,118,73,109,68
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Cameron Norrie,Jiri Lehecka,12,78,2,1,6-4 6-7(4) 6-3,98,69,102,63
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Marcos Giron,J.J. Wolf,60,66,2,0,6-4 6-4,52,42,76,46
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Jenson Brooksby,Diego Schwartzman,48,25,1,0,6-1 RET,26,18,22,10
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Quentin Halys,Ben Shelton,64,92,2,0,6-3 6-2,42,36,54,31
2023-01-09,2023-301,Auckland,atp,hard,R16,3,David Goffin,Christopher Eubanks,53,123,2,0,6-2 6-4,59,41,63,36
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Richard Gasquet,Joao Sousa,67,82,2,0,7-6(2) 6-2,60,45,65,39
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Constant Lestienne,Gregoire Barrere,65,88,2,1,1-6 7-6(4) 7-5,91,53,92,59
2023-01-09,2023-301,Auckland,atp,hard,R16,3,Laslo Djere,Casper Ruud,70,3,2,1,3-6 6-3 7-6(3),98,70,91,65
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Jiri Lehecka,Thiago Monteiro,78,69,2,0,6-3 7-5,58,45,65,39
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Marcos Giron,Federico Coria,60,76,2,1,6-7(5) 6-4 7-5,121,69,115,60
2023-01-09,2023-301,Auckland,atp,hard,R32,3,J.J. Wolf,Adrian Mannarino,66,43,2,0,6-4 7-6(4),72,47,71,43
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Jenson Brooksby,Fabio Fognini,48,57,2,1,6-7(2) 6-1 6-3,95,61,93,53
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Quentin Halys,Alex Molcan,64,54,2,0,6-3 6-4,53,41,44,31
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Ben Shelton,Sebastian Baez,92,41,2,0,7-6(1) 6-1,51,40,67,37
2023-01-09,2023-301,Auckland,atp,hard,R32,3,David Goffin,Alexander Bublik,53,36,2,0,6-3 6-4,53,33,62,29
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Christopher Eubanks,Ugo Humbert,123,108,2,0,7-6(4) 7-6(3),91,66,83,61
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Richard Gasquet,Kiranpal Pannu,67,575,2,0,6-3 6-1,35,32,67,34
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Gregoire Barrere,John Isner,88,42,2,1,6-7(3) 7-6(5) 6-3,101,79,109,74
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Constant Lestienne,Pedro Cachin,65,59,2,0,6-3 6-1,41,29,53,25
2023-01-09,2023-301,Auckland,atp,hard,R32,3,Laslo Djere,Jaume Munar,70,62,2,1,3-6 6-1 7-6(4),104,60,89,50
2023-01-09,2023-301,Auckland,atp,hard,SF,3,Cameron Norrie,Jenson Brooksby,12,48,2,0,6-3 6-4,48,38,73,40
2023-01-09,2023-301,Auckland,atp,hard,SF,3,Richard Gasquet,Constant Lestienne,67,65,0,0,W/O,,,,
2023-01-09,2023-8998,Adelaide-2,atp,hard,F,3,Soonwoo Kwon,Roberto Bautista Agut,84,26,2,1,6-4 3-6 7-6(4),98,65,101,63
2023-01-09,2023-8998,Adelaide-2,atp,hard,QF,3,Soonwoo Kwon,Mikael Ymer,84,77,2,0,6-1 6-2,46,31,40,12
2023-01-09,2023-8998,Adelaide-2,atp,hard,QF,3,Jack Draper,Karen Khachanov,40,20,2,0,6-4 7-6(3),68,48,75,47
2023-01-09,2023-8998,Adelaide-2,atp,hard,QF,3,Roberto Bautista Agut,Alejandro Davidovich Fokina,26,32,2,0,6-3 6-2,42,33,66,34
2023-01-09,2023-8998,Adelaide-2,atp,hard,QF,3,Thanasi Kokkinakis,Miomir Kecmanovic,110,28,2,1,6-3 6-7(4) 6-1,84,66,93,59
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Soonwoo Kwon,Pablo Carreno Busta,84,15,2,1,3-6 6-4 6-4,88,60,107,66
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Mikael Ymer,Mackenzie McDonald,77,63,2,1,3-6 7-6(2) 6-3,136,76,100,54
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Karen Khachanov,Marc-Andrea Huesler,20,55,2,0,6-4 6-4,54,40,56,35
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Jack Draper,Tommy Paul,40,35,2,0,6-4 6-4,57,42,58,35
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Alejandro Davidovich Fokina,John Millman,32,148,2,0,6-3 6-3,53,39,52,28
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Roberto Bautista Agut,Robin Haase,26,257,2,1,6-3 3-6 6-3,83,56,98,59
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Miomir Kecmanovic,Jason Kubler,28,86,2,1,5-7 7-6(1) 6-4,92,66,113,72
2023-01-09,2023-8998,Adelaide-2,atp,hard,R16,3,Thanasi Kokkinakis,Andrey Rublev,110,6,2,1,6-4 3-6 6-3,70,54,90,57
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Soonwoo Kwon,Tomas Machac,84,115,2,0,6-4 6-4,82,49,68,37
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Mikael Ymer,Emil Ruusuvuori,77,46,2,1,6-4 4-6 6-3,83,58,101,62
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Mackenzie McDonald,Daniel Evans,63,27,2,0,7-5 7-5,73,46,78,41
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Marc-Andrea Huesler,Arthur Rinderknech,55,45,2,1,4-6 7-6(5) 6-4,96,70,111,74
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Jack Draper,Lorenzo Sonego,40,44,2,0,6-4 6-2,44,33,50,25
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Tommy Paul,Christopher O'Connell,35,79,2,0,6-4 7-5,57,46,66,42
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Alejandro Davidovich Fokina,Brandon Nakashima,32,47,2,0,6-2 7-6(3),70,52,65,42
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,John Millman,Albert Ramos-Vinolas,148,38,2,1,4-6 6-3 7-6(6),109,68,93,61
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Robin Haase,Benjamin Bonzi,257,50,2,1,3-6 7-6(8) 7-6(3),100,65,115,72
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Miomir Kecmanovic,Kyle Edmund,28,583,2,0,6-4 7-5,60,46,64,42
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Jason Kubler,Tomas Martin Etcheverry,86,80,2,0,7-6(2) 7-5,78,59,70,51
2023-01-09,2023-8998,Adelaide-2,atp,hard,R32,3,Thanasi Kokkinakis,Alexei Popyrin,110,113,2,1,6-0 6-7(5) 7-5,101,68,99,58
2023-01-09,2023-8998,Adelaide-2,atp,hard,SF,3,Soonwoo Kwon,Jack Draper,84,40,2,1,7-6(6) 6-7(2) 6-3,109,76,109,72
2023-01-09,2023-8998,Adelaide-2,atp,hard,SF,3,Roberto Bautista Agut,Thanasi Kokkinakis,26,110,2,1,7-6(4) 3-6 6-3,107,72,77,61
2023-01-09,mcp-202301-adelaide,Adelaide,wta,hard,R32,3,Amanda Anisimova,Liudmila Samsonova,9999,9999,0,0,,,,,
2023-01-09,mcp-202301-australian_open,Australian Open,wta,hard,Q1,3,Ashlyn Krueger,Eugenie Bouchard,9999,9999,0,0,,,,,
2023-01-11,mcp-202301-australian_open,Australian Open,wta,hard,Q3,3,Sophie Chang,Oksana Selekhmeteva,9999,9999,0,0,,,,,
2023-01-12,mcp-202301-adelaide,Adelaide,wta,hard,QF,3,Caroline Garcia,Belinda Bencic,9999,9999,0,0,,,,,
2023-01-16,2023-580,Australian Open,atp,hard,F,5,Novak Djokovic,Stefanos Tsitsipas,5,4,3,0,6-3 7-6(4) 7-6(5),100,75,106,69
2023-01-16,2023-580,Australian Open,atp,hard,QF,5,Karen Khachanov,Sebastian Korda,20,31,3,0,7-6(5) 6-3 3-0 RET,75,53,76,43
2023-01-16,2023-580,Australian Open,atp,hard,QF,5,Stefanos Tsitsipas,Jiri Lehecka,4,71,3,0,6-3 7-6(2) 6-4,100,75,97,64
2023-01-16,2023-580,Australian Open,atp,hard,QF,5,Novak Djokovic,Andrey Rublev,5,6,3,0,6-1 6-2 6-4,88,61,92,48
2023-01-16,2023-580,Australian Open,atp,hard,QF,5,Tommy Paul,Ben Shelton,35,89,3,1,7-6(6) 6-3 5-7 6-4,117,93,162,103
2023-01-16,2023-580,Australian Open,atp,hard,R128,5,Rafael Nadal,Jack Draper,2,38,3,1,7-5 2-6 6-4 6-1,119,78,115,69
2023-01-16,2023-580,Australian Open,atp,hard,R128,5,Mackenzie McDonald,Brandon Nakashima,65,49,3,2,7-6(5) 7-6(1) 1-6 6-7(10) 6-4,156,112,177,122
2023-01-16,2023-580,Australian Open,atp,hard,R128,5,Dalibor Svrcina,Jaume Munar,216,64,3,0,6-3 6-2 6-2,69,49,102,50
2023-01-16,2023-580,Australian Open,atp,hard,R128,5,Yoshihito Nishioka,Mikael Ymer,33,69,3,0,6-4 6-2 7-5,86,59,90,53
2023-01-16,2023-580,Australian Open,atp,hard,R128,5,Karen Khachanov,Bernabe Zapata Miralles,20,72,3,0,7-6(3) 6-2 6-0,90,64,91,45
